,id,sentiment,tweet,label_a
0,1964,NEG,Tried to eat some chicken tacos after being vegetarian for two months I felt nauseous af after 😭😩,1
1,2128,NEG,"Idk what’s messing up worse this COD WWII, U-verse or this damn Xbox one",1
2,3332,NOT,I️ need to find me a singer and dancer so we can start a group like BBD,0
3,253,NOT,"Now playing Our Turf Football: Goodell vs. Jones, Bridgewater, and Concussions by Dayna O'Gorman &amp; Lisa Johnson!",0
4,4466,NEG,I miss football :(,1
5,723,NEG,folk's this is the most embarassing overtime battle of new orleans for washington since 1812,1
6,3612,NOT,@_moniwhat Really? I don’t think I’ve ever seen hockey before hahaha,0
7,4459,NEG,"#Cavs  Is #Shump out , why is #Calderon playing ? Dont like this line up ?",1
8,2526,NOT,The new Thor movie is very good! Loki is still my favorite lol 😂,0
9,18,NEG,Trying to get Spotify to function on my  Xbox-One is worse than pulling pubic hair out by the fistload.,1
10,3836,NOT,@IconSuspended He’s got a new album out.....,0
11,681,NEG,"@TREDICl nah pixel 1, lost my pixel 2 somewhere :(",1
12,576,NOT,But I don't have a iphone x,0
13,1137,NOT,@BravingRuin If a company gets as big as google and then decides to become partisan watch out.,0
14,1852,NOT,I’ll make my mans booty hole pop when my cock milly rock @MarleyAnMe25,0
15,269,NOT,@itsbl0ndie @YouTube Absolutely amazing !! There’s no way anyone can hold back tears watching that video ! So happy for you guys !!,0
16,3601,NOT,This iPhone X is amazing lol,0
17,776,NOT,@prataemin did u pour the cereal already?😔😔,0
18,627,NEG,Watched a video on Facebook about pork... that shit just turnt me off🤢🤮,1
19,59,NOT,Okay I love Chance the Rapper.,0
20,746,NEG,"I bought an android, but I’m not THAT stupid",1
21,2524,NEG,Amazon tickets is fucking mint,1
22,744,NOT,finally watching the defenders so i can watch the punisher this week,0
23,3000,NEG,@FoxNews @realDonaldTrump THEY. ARE. AMERICANS.   He’s a disgrace to the office of the presidency.,1
24,717,NOT,"@NHL united states has the best neighbors in the world.   Thanks,  Canada",0
25,2844,NOT,@JohnLegere If you give me an iPhone X I’ll switch to T-Mobile,0
26,4001,NOT,Give him good head and breakfast in bed 🤤🤭,0
27,595,NEG,The way computer blocks ball in Fifa18 (legendary). Frustrating is putting it lightly. #PlayStation #Fifa18,1
28,2839,NOT,"@br_CBB hard watching these college basketball games, everybody jacking 3s",0
29,3319,NOT,"Her ass ate a burger, and 10pc nugget from wendys.",0
30,991,NOT,"#LeducBudget2018 - FCSS - social development hosted community barbecues, seniors pancake breakfast, and more",0
31,2328,NEG,my fucking iphone has been frozen for 3 hours now!! i hate my piece of shit phone!!!!,1
32,3856,NOT,To cook or buy food tonight? �<br/><br/>Problems u gotta deal with when yo move out yo parents house,0
33,3144,NEG,@LeagueFreak Very uneventful atm... 😪😪😪😪,1
34,2855,NOT,@NFLonNBC loved the sky cam keep up the good work.! #nfl #nbc #nflnetwork,0
35,3072,NOT,Do I really have to have another Xbox live account to use YouTube or twitch in the console?  That can’t be true is it?,0
36,1338,NOT,I need a chicken spot to open up so i can put some grease on my stomach,0
37,2302,NEG,"@dancersue1 @CTVNews I give a rats ass what you think you fat ass bitch , no wonder your spouse  left you , look st yourself",1
38,288,NEG,I’ve been trying to upload my fanchant video for an hour now oznwks,1
39,911,NOT,@__arterialee If you were here I would have took you to breakfast because I’m hungry myself 😂🤦🏾‍♀️,0
40,2004,NEG,Saying that my thighs are fat won't make you skinny. So shatap.,1
41,2493,NEG,"@RuiterWrongFAN GREAT, NFL and their sponsors will not get one thin dime of my money or one minute of my time. #standfortheflag",1
42,1941,NOT,If I had to use a Windows operating system it’s going to be through a virtual machine using my Apple Computer,0
