,id,sentiment,tweet,label_a
0,0,NOT,"Finished Season one, now starting #StrangerThings",0
1,1,NOT,If NBA playoffs started today Cavs wouldn't make the cut #nba,0
2,2,NOT,"My boyfriend knew I wasn’t gonna have lunch before the awards, so he brought me lunch",0
3,3,NOT,"@cheetah_spotty Ahh! I've always referred to this fine flavor combination as ""Rushed Breakfast"" :D",0
4,4,NOT,@mfluder_42 @StarMinion We’re thinking dinner at the Tapa Bar if you guys wanna meet us there. :-),0
5,5,NOT,"Any man who must say, I am the king, is no true king. #GameOfThrones",0
6,6,NEG,🤦🏽‍♀️🤦🏽‍♀️ the sheriff should have told someone what was up before he took off. Now I am pissed. #StrangerThings,1
7,7,NOT,#AHSCult and then some #StrangerThings,0
8,8,NOT,#thor was so great!,0
9,9,NOT,Anyone else peep the #ReaganBush84 sign in #StrangerThings season 2 episode 2? #easteregg,0
10,10,NOT,#pronostics #NBA  <br/><br/>Brooklyn - Celtics : 2 (1.33) ✅<br/>Houston - Toronto : Houston de 6+ (1.65) ❌<br/>Dallas - San Antonio : 2 (1.35) ✅,0
11,11,NOT,Just realized the kid who killed John Wick’s dog is same guy who plays Theon Greyjoy in #GOT,0
12,12,NEG,I’m scared to watch this last episode #StrangerThings #chapter9 #fuckk,1
13,13,NEG,There is a special place in hell for people talking in #GameOfThrones references...,1
14,14,NOT,@vegasdead @GoldenKnights Best home ice advantage in the #NHL!,0
15,15,NOT,@packfan122787 @NFL Oh and it’s You’re not your #Grammer,0
16,16,NOT,"Adding milk to the cereal, is that  milk now a beverage, a broth, or a sauce? (c)",0
17,17,NEG,"This just in...water is wet, sky is blue, and #Cavs defense is awful....",1
18,18,NEG,Trying to get Spotify to function on my  Xbox-One is worse than pulling pubic hair out by the fistload.,1
19,19,NOT,New tax bill in a nutshell: <br/>Jet owners can write off jets. <br/>Teachers can’t write off school supplies.,0
20,20,NOT,"wow bts really makes me so happy, like my eyes are twinkling in this video",0
21,21,NEG,oh fuck its 6am oh no nono why what did i do,1
22,22,NOT,@donovan_upnext Soooo you didnt make his account your home xbox?,0
23,23,NOT,The only thing better than an iPhone 8 is a second iPhone 8.,0
24,24,NOT,@agathatomasik Thank you Agatha for the sweet tweet &amp; support! ❌⭕️,0
25,25,NOT,Do all tvs have apps on them now?,0
26,26,NOT,@JillNorgaard Update you iPhone,0
27,27,NOT,@byvnssa @tylerthecreator *helpful tip* please view this video in horizontal format for an improved visual experience,0
28,28,NOT,Chainey is called for roughing. 4-on-4 hockey for 57 seconds before a Sea Dogs man advantage.,0
29,29,NOT,"Women's Basketball: UW-River Falls 63, St. Olaf 44 - Final",0
30,30,NOT,the google translation of what i think it might be is so funny hfhsh,0
31,31,NOT,Most of my producer friends make bass music... I need more House x Techno peeps to send music to,0
32,32,NOT,Top tip - Download mobile apps to help you interact with your audience on the move. #webdesigner #socialmedia,0
33,33,NOT,Like good food and that fond feeling you have for your loved ones or colleagues.,0
34,34,NOT,"The new Red video was so fun to make. I got a ton of bloopers going in the next, so look out for that!",0
35,35,NEG,the most fucked up part of growing up is people expecting you not to cry because you have to be strong all the time,1
36,36,NEG,Funny how my $963.43 iPhone be acting like straight trash @Apple,1
37,37,NEG,NAH WHY IS MY IPHONE MESSING up STOPPPPP,1
38,38,NOT,iPhone<br/>iPhone 3G<br/>iPhone 3GS<br/>iPhone 4<br/>iPhone 4S<br/>iPhone 5<br/>iPhone 5S<br/>iPhone 6<br/>iPhone 6S<br/>iPhone 7<br/>iPhone 8<br/>iPhone X<br/>iPhone XO TOUR Llif3 Lil Uzi,0
39,39,NOT,@EricDJuly Time to update your iPhone.,0
40,40,NOT,@StephmanBryce @BIGstevecw @MarvelHeroes @GazillionGames @Marvel @XboxSupport @Xbox @XboxP3 Sure we all would.,0
41,41,NOT,@ATrainKickz @vtownkickz @nikestore @Android send me the account info so i can check that for you,0
42,42,NOT,"So far, the iPhone X is pretty great!",0
43,43,NOT,#Top3Apps for #PrimaJona<br/><br/>Twitter for Android 39%<br/>Twitter for iPhone 25%<br/>Instagram 20%,0
44,44,NOT,@Mrwhosetheboss Do you like android 8 or IOS 11? Bonus: iPhone 8 or Galaxy Note 8?,0
45,45,NOT,"I’ve been using my phone for 10 hours, still got 78% left on it. Yey iPhone 8+",0
46,46,NOT,Having an iPhone truly makes my life a lot easier.,0
47,47,NOT,@garysanchezjr @Harry4naris Or go root for the Rangers if you aren't down with Snow's roster construction,0
48,48,NOT,saw #imaginedragons and i gotta say they’re talented as fuck and their latest album is 👌 #amas,0
49,49,NOT,@sltrib Wow. There’s all kinds of mental gymnastics going on in this,0
50,50,NOT,Members came in today for lunch to learn more about competitive events.,0
51,51,NEG,@Lakers We're losing 🙃,1
52,52,NEG,@Xbox After six months of paying for live without me knowing. I am still not being refunded. @xbox basically ran a scam on me @XboxSupport 🖕,1
53,53,NOT,"First up, me and Lindsay are doing a Jazz to Rudolph the Red Nose Reindeer from Rudolph the Red Nose Reindeer.",0
54,54,NOT,@BWFeldy @Apple Ha! Yeah....would have been great to watch some Auburn football games on....,0
55,55,NOT,@CurlyJ86 @GodzStr8Shooter @NFL @cj_wentz These people help me procrastinate. They made Twitter fun again.,0
56,56,NOT,I may get some video. #TakeItToThem,0
57,57,NOT,"@jjschmid72 @TyWH90 @thephinsider Come on coach JJ, what else you got?",0
58,58,NEG,"@nolan7517 @SEC_Exposed Not to mention, boring ass football!",1
59,59,NOT,Okay I love Chance the Rapper.,0
60,60,NOT,@Planet_Pedro @VICE @johnmcternan It's a prayer book..iPhone is a stretch,0
61,61,NEG,food can’t make me happy either,1
62,62,NOT,CTE Update - Go Go Go!!!!! Let’s fill up those Frontline servers.<br/>I am on Xbox One server #126,0
63,63,NOT,"Domantas Sabonis said still a game-time decision (illness) but is warming up before game. Remember his last ""sick game"" vs Spurs?",0
64,64,NOT,"Playing Pokemon, eating corn dogs, and watching The Office for the fifteen millionth time seems to be what it all comes back to in life.",0
65,65,NEG,When someone eats your food without asking &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;,1
66,66,NOT,Eating turkey and playing football #aDILLONtradition,0
67,67,NOT,Just watched #JusticeLeague ... #WonderWoman is my MVP of the movie.. <br/>also a great Big THANK YOU to @wwp for the tickets!!😍😍😍👍🏽👍🏽,0
68,68,NOT,@gangstah1x @PapaW0RK xbox is that way &gt;&gt;&gt;&gt;&gt;&gt;,0
69,69,NOT,.@SearchInfra2 I enjoy food with lots of flavor : 8649f1c6-28a5-4588-a1d8-b465c3b0c999,0
70,70,NOT,@NFLonFOX @Vikings Reach the NFL title game.,0
71,71,NOT,need some lambing and extra attention,0
72,72,NOT,I love basketball. #BuckleUp,0
73,73,NEG,That looked fucking awful in person @Lakers trash,1
74,74,NOT,"I love Mexican food, I frequent this new restaurant called “OLIVE GARDEN.”",0
75,75,NOT,Am I the only person who wants a Hancock 2 Movie?,0
76,76,NOT,@mishdad Okay now I need a video of Jared playing the guitar,0
77,77,NOT,Clarkson is the best player on Lakers. Idc.,0
78,78,NOT,RT this is your significant other is a SNACK and you love them very much,0
79,79,NOT,don't give him your heart if he doesn't deserve it..,0
80,80,NOT,3A - REGION 4 CHAMPIONS🏈<br/><br/>Corbin (12-1) - 50<br/><br/>Powell County (8-5) - 14<br/><br/>*3rd straight Region Championship.,0
81,81,NOT,food almost done 😌,0
82,82,NOT,@vetoallthenoms They where the gold champion gymnastics team at the olympics.....,0
83,83,NOT,"I gotta go see #WonderTheMovie asap. Nothing like a ""feel good"" movie. 💚",0
84,84,NOT,AFC Championship game:<br/>Patriots vs. Jaguars<br/>You heard it here first,0
85,85,NOT,"Now Playing, Gene Ammons — I Remember You from Jug &amp; Dodo #music #Jazz",0
86,86,NOT,Good movie though,0
87,87,NOT,@Anydo is there any chance we see an UI/UX update for the iPhone X? #ios11,0
88,88,NOT,🇺🇸 | Pop Radio [US]<br/><br/>#3 Havana (=)<br/><br/>Spins: 14.736 (+334)<br/>Aud: 89.396 (+1.539),0
89,89,NOT,"I’m getting taken out on a breakfast date and actually, I’m kinda excited. He’s just a friend though",0
90,90,NOT,@RealKRSTNDALY @Deadspin @NFL Maybe because it was from college,0
91,91,NOT,@cavs beat @LAClippers,0
92,92,NOT,@liz_lolol Biscuits are the first thing I learned to cook at about 5 years old. My great grandma taught me. 😊,0
93,93,NOT,@SoDelhi @SelectCITYWALK A8. My Square - The Food Court<br/><br/>#CITYWALKTurns10,0
94,94,NOT,This hen and apple juice thank me later,0
95,95,NOT,Bruh im on that Fornite grind boiz VIDEO COMING SOON,0
96,96,NEG,"Most Django projects really only need one app, and trying to understand projects with multiple apps is annoying.",1
97,97,NOT,@hbryant42 Guess that makes it lunch.,0
98,98,NOT,"HUGE day in the sports world tomorrow! NBA, CFB, CBB, NHL all live tomorrow. Over 200 games. I can’t wait 😍😍😍",0
99,99,NOT,Hustle &amp; flow really my favorite movie. Shit motivational af,0
100,100,NEG,If I see the video of the bitch sucking her dogs tongue on my TL one more time I’m deleting my Twitter,1
101,101,NOT,@AscendFCU when are y’all gonna goin the android pay ?,0
102,102,NOT,Up next! The mens basketball game; TRU Wolfpack vs Lethbridge Pronghorns!,0
103,103,NEG,Per my last - I have a whole night alone in a hotel and there is no @penguins hockey on...this is just a tragedy,1
104,104,NOT,Chicken sandwich🐔 for launch,0
105,105,NEG,I hate everything about me.,1
106,106,NOT,"FOOTBALL: Anthony Brown recovers onside kick for Belton, which has it at SGP 47.",0
107,107,NOT,"@shoe0nhead The girl has the invisible powers, not the guy. The dick is seen.",0
108,108,NOT,Still waiting patiently to marry a hockey player,0
109,109,NEG,hate them ones who don’t even know you properly who pop up and want to know everything about you and your life like focus on ur own u beg,1
110,110,NOT,@MendezVilla @armandodroghet3 so sweet heartily bird parrot,0
111,111,NOT,@RodolfoCota_ @MigueJimnz90 Debut a los 27?  #NoPosTaCabron,0
112,112,NEG,"It was sad that fandral got killed so quickly in the movie, cuz I liked fandral and Loki this ship",1
113,113,NEG,I’m honestly so bored. I keep opening and closing all my apps and nothing has changed.,1
114,114,NOT,@Sportsnet As it should of your out of the paint no goalie interference,0
115,115,NOT,hmu if u tryna get this work in fifa 15 on xbox 360,0
116,116,NOT,@Cavs Playing their D game on defense!,0
117,117,NOT,@projectfi Until it gets momentum and if it doesn’t it will follow the google wallet,0
118,118,NOT,Got the W #Cavs,0
119,119,NOT,"@wachipup I am glad, because I like for the tums to be yum!",0
120,120,NEG,@gabrielledoug face it girl ur over even more than u were after being the worst member at last yrs olympics,1
121,121,NEG,@Stutterbus itlooks like they're all watching a shitty movie,1
122,122,NOT,"@anoel Ah, a Batman vs Superman pt2. Hm, I don't think I finished watching that movie.",0
123,123,NOT,@Champaign_Room @TCRBrad Get the state basketball tournament back,0
124,124,NOT,Pop A corona GO Pats #vivemexico  stay hydrated,0
125,125,NOT,Y'all I need video of that safety blown call,0
126,126,NOT,@meisterbuerger Two weeks. Breakfast. Stout. Clear the calendar. @CountryBoyBrew @NatesCoffee,0
127,127,NOT,y’all know butchers cut cancer outta pork,0
128,128,NEG,U was supposed to be mah fucken cinnamon apple,1
129,129,NOT,"@MissMadeline11 @justiceleaguewb Also read the last 3 words as Hope, Unity, Beef. If you're wondering yes I'm hungry 😂",0
130,130,NOT,@pixelkitties it was the @StormBrewingVan ice cream social.,0
131,131,NOT,Post Malone needs to drop a Christmas album,0
132,132,NOT,@311_WiFi Check out the Wii U that uses miracast in 5GHz...,0
133,133,NOT,These the same kinda women who cook emty pots while posing half naked for the gram.,0
134,134,NOT,I️ wanna go to breakfast,0
135,135,NEG,Cavs don’t have not 1 big man. Shit is ridiculous we don’t have a PG either lol or a reliable SG,1
136,136,NEG,ive been making this drunk poetry note in my notes on my iphone and i wish i had balls to share it but theyre so pathetic :/,1
137,137,NOT,@The518Buffalo Life hits you fast smh,0
138,138,NOT,@Mr1738 Unbreakable the greatest super hero movie of all time or the Dark Knight trilogy.,0
139,139,NOT,Anyone wanna buy me a digital copy of CoD for the Xbox?  In exchange for a PS4 code?,0
140,140,NOT,@Ptizzzle Eventually he'll try to justify why he plays basketball,0
141,141,NOT,I guess I'ma go out for a few,0
142,142,NOT,"Cup Championship Contenders - Martin Truex Jr Starts In Outside Pole In 2nd, Kyle Busch 3rd, Brad Keselowski 5th &amp; Kevin Harvick 9th",0
143,143,NOT,@id0ntcarex_ Lol no her video is funny/cute.,0
144,144,NOT,I’m loving this #iPhoneX,0
145,145,NOT,@BestBuy Any deals on the new iPhone,0
146,146,NOT,@Nick__Wolfhard I used to play the Incredibles video game on Playstation 2 back in the day. Good stuff. 😂,0
147,147,NOT,Looking for tl<br/>XB1 ww2<br/>GT: IGotNoGunSkilll<br/>Hmu on Xbox <br/>@HyperRTs @CODReTweeters @CoDWWIIScrims @CoDWorldWarll @RTWWII,0
148,148,NOT,"will never tire of Zedd &amp; Alessia Cara's ""Stay."" 100% pop magic...&amp; this orchestral version just brought it to another level #AMAs #AMAs2017",0
149,149,NOT,"@bseungkuan NUGU? NUNU !!! 😜 anyway Boo, have you eat your lunch?",0
150,150,NOT,Championship matchups:<br/><br/>6A<br/><br/>#3 Chandler vs #4 Perry<br/><br/>5A<br/><br/>#2 Centennial vs #4 Notre Dame Prep<br/><br/>4A<br/><br/>#2 Saguaro vs #4 Salpointe Catholic,0
