,Unnamed: 0.1,label,tweet,emoji
0,0,1,                     is so sad for my APL friend.............,[]
1,1,1,                   I missed the New Moon trailer...,[]
2,2,0,              omg its already 7:30 :O,[]
3,3,1,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,[]
4,4,1,         i think mi bf is cheating on me!!!       T_T,[]
5,5,1,         or i just worry too much?        ,[]
6,6,0,       Juuuuuuuuuuuuuuuuussssst Chillin!!,[]
7,7,1,       Sunny Again        Work Tomorrow  :-|       TV Tonight,[]
8,8,0,      handed in my uniform today . i miss you already,[]
9,9,0,      hmmmm.... i wonder how she my number @-),[]
10,10,1,      I must think about positive..,[]
11,11,0,      thanks to all the haters up in my face all day! 112-102,[]
12,12,1,      this weekend has sucked so far,[]
13,13,1,     jb isnt showing in australia any more!,[]
14,14,1,     ok thats it you win.,[]
15,15,1,    &lt;-------- This is the way i feel right now...,[]
16,16,1,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",[]
17,17,0,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate,[]
18,18,1,    HUGE roll of thunder just now...SO scary!!!!,[]
19,19,1,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,[]
20,20,1,    Very sad about Iran.,[]
21,21,1,    wompppp wompp,[]
22,22,0,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome,[]
23,23,1,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,[]
24,24,1,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,[]
25,25,1,   BoRinG   ): whats wrong with him??     Please tell me........   :-/,[]
26,26,1,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,[]
27,27,1,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. ",[]
